run_id,timestamp,variant,branch,commit,scenario,concurrency,pool_size,isolation,seed,repetition,total_requests,success,failure,failure_kinds,original_order_quantity,executed_quantity_sum,overfill_quantity,order_status,order_remaining_quantity,holdings_before,holdings_after,account_before,account_after,invariant_violations,deadlocks,lock_timeouts,partial_chain
51d5c63f,2026-09-02T10:07:51.500325765Z,timing,N/A,N/A,C2,1,N/A,N/A,N/A,1,5,5,0,none,100,100,0,COMPLETED,0,200,100,N/A,N/A,0,0,0,SELL 30  -> BUY 잔량 70  (기대 70) / 상태 PARTIAL | SELL 20  -> BUY 잔량 50  (기대 50) / 상태 PARTIAL | SELL 10  -> BUY 잔량 40  (기대 40) / 상태 PARTIAL | SELL 40  -> BUY 잔량 0   (기대 0) / 상태 COMPLETED
51d5c63f,2026-09-02T10:07:51.703167189Z,timing,N/A,N/A,C1,2,N/A,N/A,N/A,1,2,2,0,none,1,1,0,COMPLETED,0,10,9,100000000.00|100000000.00,100000000.00|99999000.00|100001000.00,0,0,0
76650a13,2026-09-02T10:27:18.762837017Z,B2-final,final/b2-conditional-update,c9440b7,C3,1,120,READ_COMMITTED(placeOrder only),N/A,1,2,1,1,InsufficientAssetException=1,1,0,0,PENDING,1,10,10,500.00|0.00,500.00|0.00,0,0,0
76650a13,2026-09-02T10:27:19.085490100Z,B2-final,final/b2-conditional-update,c9440b7,C2,1,120,READ_COMMITTED(placeOrder only),N/A,1,5,5,0,none,100,100,0,COMPLETED,0,200,100,N/A,N/A,0,0,0,SELL 30  -> BUY 잔량 70  (기대 70) / 상태 PARTIAL | SELL 20  -> BUY 잔량 50  (기대 50) / 상태 PARTIAL | SELL 10  -> BUY 잔량 40  (기대 40) / 상태 PARTIAL | SELL 40  -> BUY 잔량 0   (기대 0) / 상태 COMPLETED
76650a13,2026-09-02T10:27:19.255451710Z,B2-final,final/b2-conditional-update,c9440b7,C1,2,120,READ_COMMITTED(placeOrder only),N/A,1,2,2,0,none,1,1,0,COMPLETED,0,10,9,100000000.00|100000000.00,99999000.00|100000000.00|100001000.00,0,0,0
90490032,2026-09-02T11:40:17.312657175Z,FIX-E,fix/e-accounts-lazy,8fe7b1a,C3,1,120,READ_COMMITTED(placeOrder only),N/A,1,2,1,1,InsufficientAssetException=1,1,0,0,PENDING,1,10,10,500.00|0.00,500.00|0.00,0,0,0
90490032,2026-09-02T11:40:17.913395823Z,FIX-E,fix/e-accounts-lazy,8fe7b1a,C2,1,120,READ_COMMITTED(placeOrder only),N/A,1,5,5,0,none,100,100,0,COMPLETED,0,200,100,N/A,N/A,0,0,0,SELL 30  -> BUY 잔량 70  (기대 70) / 상태 PARTIAL | SELL 20  -> BUY 잔량 50  (기대 50) / 상태 PARTIAL | SELL 10  -> BUY 잔량 40  (기대 40) / 상태 PARTIAL | SELL 40  -> BUY 잔량 0   (기대 0) / 상태 COMPLETED
90490032,2026-09-02T11:40:18.217776258Z,FIX-E,fix/e-accounts-lazy,8fe7b1a,C1,2,120,READ_COMMITTED(placeOrder only),N/A,1,2,2,0,none,1,1,0,COMPLETED,0,10,9,100000000.00|100000000.00,99999000.00|100000000.00|100001000.00,0,0,0
17448969,2026-09-02T14:23:05.313766055Z,FIX-E-FINAL,fix/e-accounts-lazy,7849171,C3,1,120,READ_COMMITTED(placeOrder only),N/A,1,2,1,1,InsufficientAssetException=1,1,0,0,PENDING,1,10,10,500.00|0.00,500.00|0.00,0,0,0
17448969,2026-09-02T14:23:05.909784118Z,FIX-E-FINAL,fix/e-accounts-lazy,7849171,C2,1,120,READ_COMMITTED(placeOrder only),N/A,1,5,5,0,none,100,100,0,COMPLETED,0,200,100,N/A,N/A,0,0,0,SELL 30  -> BUY 잔량 70  (기대 70) / 상태 PARTIAL | SELL 20  -> BUY 잔량 50  (기대 50) / 상태 PARTIAL | SELL 10  -> BUY 잔량 40  (기대 40) / 상태 PARTIAL | SELL 40  -> BUY 잔량 0   (기대 0) / 상태 COMPLETED
17448969,2026-09-02T14:23:06.236540534Z,FIX-E-FINAL,fix/e-accounts-lazy,7849171,C1,2,120,READ_COMMITTED(placeOrder only),N/A,1,2,2,0,none,1,1,0,COMPLETED,0,10,9,100000000.00|100000000.00,100000000.00|99999000.00|100001000.00,0,0,0
