run_id,timestamp,variant,branch,commit,scenario,concurrency,pool_size,isolation,seed,repetition,warmup,total_requests,success,failure,failure_kinds,trade_count,executed_quantity_sum,fill_rate_pct,total_duration_ms,throughput_req_per_sec,ok_avg_ms,ok_p50_ms,ok_p95_ms,ok_p99_ms,ok_max_ms,fail_avg_ms,fail_p50_ms,fail_p95_ms,fail_p99_ms,fail_max_ms,deadlocks,lock_timeouts,Innodb_row_lock_waits_delta,Innodb_row_lock_time_delta,Com_select_delta,Com_update_delta,Com_insert_delta,Com_commit_delta,Com_rollback_delta,Innodb_row_lock_time_avg_before,Innodb_row_lock_time_avg_after,Innodb_row_lock_time_max_before,Innodb_row_lock_time_max_after,completed_within_timeout
76650a13,2026-09-02T10:27:19.921971506Z,B2-final,final/b2-conditional-update,c9440b7,S3,10,120,READ_COMMITTED(placeOrder only),N/A,0,true,10,10,0,none,10,10,100.0,205,48.78,119,110,203,203,203,N/A,N/A,N/A,N/A,N/A,0,0,9,830,105,79,30,10,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:20.515057922Z,B2-final,final/b2-conditional-update,c9440b7,S3,10,120,READ_COMMITTED(placeOrder only),N/A,1,false,10,10,0,none,10,10,100.0,166,60.24,100,95,165,165,165,N/A,N/A,N/A,N/A,N/A,0,0,9,692,103,79,30,10,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:21.091019157Z,B2-final,final/b2-conditional-update,c9440b7,S3,10,120,READ_COMMITTED(placeOrder only),N/A,2,false,10,10,0,none,10,10,100.0,170,58.82,97,93,168,168,168,N/A,N/A,N/A,N/A,N/A,0,0,9,705,101,79,30,10,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:21.647726630Z,B2-final,final/b2-conditional-update,c9440b7,S3,10,120,READ_COMMITTED(placeOrder only),N/A,3,false,10,10,0,none,10,10,100.0,156,64.10,93,85,155,155,155,N/A,N/A,N/A,N/A,N/A,0,0,9,607,99,79,30,10,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:23.771300240Z,B2-final,final/b2-conditional-update,c9440b7,S3,50,120,READ_COMMITTED(placeOrder only),N/A,0,true,50,50,0,none,50,50,100.0,638,78.37,333,340,600,628,628,N/A,N/A,N/A,N/A,N/A,0,0,128,9761,604,478,150,50,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:25.903365547Z,B2-final,final/b2-conditional-update,c9440b7,S3,50,120,READ_COMMITTED(placeOrder only),N/A,1,false,50,50,0,none,50,50,100.0,635,78.74,339,353,602,621,621,N/A,N/A,N/A,N/A,N/A,0,0,98,13234,566,448,150,50,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:27.906039400Z,B2-final,final/b2-conditional-update,c9440b7,S3,50,120,READ_COMMITTED(placeOrder only),N/A,2,false,50,50,0,none,50,50,100.0,548,91.24,289,289,522,539,539,N/A,N/A,N/A,N/A,N/A,0,0,72,12381,534,422,150,50,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:29.816701858Z,B2-final,final/b2-conditional-update,c9440b7,S3,50,120,READ_COMMITTED(placeOrder only),N/A,3,false,50,50,0,none,50,50,100.0,504,99.21,266,256,479,495,495,N/A,N/A,N/A,N/A,N/A,0,0,56,11711,514,406,150,50,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:33.328903019Z,B2-final,final/b2-conditional-update,c9440b7,S3,100,120,READ_COMMITTED(placeOrder only),N/A,0,true,100,100,0,none,100,100,100.0,1162,86.06,602,594,1094,1139,1148,N/A,N/A,N/A,N/A,N/A,0,0,254,45668,1188,954,300,100,1,136,136,7961,7961,true
76650a13,2026-09-02T10:27:36.971714340Z,B2-final,final/b2-conditional-update,c9440b7,S3,100,120,READ_COMMITTED(placeOrder only),N/A,1,false,100,100,0,none,100,100,100.0,1069,93.55,557,565,1009,1043,1053,N/A,N/A,N/A,N/A,N/A,0,0,198,47086,1120,898,300,100,1,136,137,7961,7961,true
76650a13,2026-09-02T10:27:40.747416827Z,B2-final,final/b2-conditional-update,c9440b7,S3,100,120,READ_COMMITTED(placeOrder only),N/A,2,false,100,100,0,none,100,100,100.0,1064,93.98,563,552,1006,1039,1047,N/A,N/A,N/A,N/A,N/A,0,0,176,50435,1094,876,300,100,1,137,137,7961,7961,true
76650a13,2026-09-02T10:27:44.250271009Z,B2-final,final/b2-conditional-update,c9440b7,S3,100,120,READ_COMMITTED(placeOrder only),N/A,3,false,100,100,0,none,100,100,100.0,1042,95.97,533,533,971,1000,1010,N/A,N/A,N/A,N/A,N/A,0,0,138,48189,1050,838,300,100,1,137,138,7961,7961,true
